Wiek,1950,1960,1970,1980,1990,2000,2010
0,0.09911,0.0483,0.029019999999999997,0.017830000000000002,0.01697,0.00733,0.004520000000000001
1,0.022580000000000003,0.006370000000000001,0.00372,0.00275,0.00209,0.0011099999999999999,0.00079
5,0.006670000000000001,0.0021899999999999997,0.0018399999999999998,0.00158,0.0011,0.00067,0.0005
10,0.00491,0.00175,0.00149,0.00115,0.00109,0.0007099999999999999,0.00058
15,0.00878,0.00277,0.00213,0.0018100000000000002,0.00172,0.00145,0.0010400000000000001
20,0.012159999999999999,0.00415,0.00288,0.00238,0.0018800000000000002,0.0015199999999999999,0.0011099999999999999
25,0.013280000000000002,0.0055,0.00328,0.00288,0.00243,0.00186,0.00134
30,0.015330000000000002,0.00673,0.00451,0.0043100000000000005,0.0038200000000000005,0.0027,0.00206
35,0.01785,0.009,0.00678,0.006659999999999999,0.00647,0.00457,0.0035399999999999997
40,0.02029,0.01247,0.01043,0.010409999999999999,0.01073,0.00851,0.0062
45,0.02737,0.01917,0.01651,0.01659,0.01622,0.01426,0.011040000000000001
50,0.04028,0.0271,0.02497,0.0257,0.02418,0.02203,0.018359999999999998
55,0.05857999999999999,0.0414,0.03784,0.03922,0.0384,0.03228,0.02865
60,0.09174,0.06912,0.06252,0.06171,0.06094,0.04808,0.04237
65,0.14451,0.11528,0.10307999999999999,0.09894,0.09981,0.07823,0.0614
70,0.24078000000000002,0.19136,0.18744,0.16845,0.15965,0.12989,0.09605
75,0.34941,0.3006,0.28121999999999997,0.28265,0.25971,0.22330999999999998,0.1687
80,0.5018699999999999,0.46188999999999997,0.44725,0.46216,0.41007,0.35899000000000003,0.2931
